Truth #,Headline,Subtitle
10,Nobody claps for Day 3,But they should
11,Your real ones show up,Everyone else was optional
12,Sleep hits different now,It's actually remarkable
13,You'll outlive your doubts,Just not today though
14,The bar isn't the goal,It's just not falling apart
15,Your friends get weird about it,That's on them, not you
16,One day at a time sounds boring,It's also the only way it works
17,You will cry at a song later,And it won't even be sad
18,The future isn't your problem,Just make it to tomorrow
19,Every stupid meeting counts,Even when you don't feel it
