milestone_number,milestone_title,coin_design,has_coin,coin_caption,milestone_quote,quote_attribution,symbolism_body,prompt_1,prompt_2,prompt_3,prompt_4,prompt_5,primary_color,accent_color,primary_hex,accent_hex,line_art_symbol,line_art_caption,coin_image_file
1,ONE MONTH,Torii Gate,yes,1-month coin · torii gate,Write your story as it needs to be written.,Neil Gaiman,The torii marks a threshold. A beginning. A path that has opened. Crossing it is the act of stepping into the next version of your life.,HOW HAS THE FIRST MONTH FELT DIFFERENT FROM WHAT YOU EXPECTED?,WHAT IS ONE THING YOU'RE PROUD OF THIS MONTH?,"WHAT WAS HARD, AND HOW DID YOU GET THROUGH IT?",THE TORII IS A THRESHOLD. WHAT ARE YOU STEPPING INTO?,FREE WRITE — ANYTHING THAT NEEDS TO COME OUT.,ocean indigo,soft sky tint,#003B88,#B8C9E8,,,
2,TWO MONTHS,Desert Landscape,yes,2-month coin · desert landscape,Start where you are. Use what you have. Do what you can.,Arthur Ashe,"The desert is not empty. It is the place where essentials survive. Sand, stone, and slow water teach you what you cannot live without.",HOW HAS YOUR SENSE OF TIME SHIFTED IN THE LAST 60 DAYS?,WHAT IS ONE THING YOU'RE PROUD OF THIS MONTH?,"WHAT WAS HARD, AND HOW DID YOU GET THROUGH IT?",THE DESERT TEACHES ESSENTIALS. WHAT HAVE YOU LEARNED YOU CANNOT LIVE WITHOUT?,FREE WRITE — ANYTHING THAT NEEDS TO COME OUT.,golden sunrise,soft butter tint,#FFD437,#F5E6A8,,,
3,THREE MONTHS,Frog,yes,3-month coin · frog,The greatest gift you can give yourself is forgiveness.,Maya Angelou,"The frog is patient. It sits still in the shallows until the moment is right, then moves with everything it has. A small leap, made on purpose.",WHAT IS A SMALL LEAP YOU'VE TAKEN RECENTLY?,WHAT IS ONE THING YOU'RE PROUD OF THIS MONTH?,"WHAT WAS HARD, AND HOW DID YOU GET THROUGH IT?",THE FROG WAITS. WHAT PATIENCE ARE YOU LEARNING RIGHT NOW?,FREE WRITE — ANYTHING THAT NEEDS TO COME OUT.,leaf green,soft mint tint,#37C86F,#B8E4C5,,,
4,FOUR MONTHS,Stag,yes,4-month coin · stag,I am stronger than my excuses.,Proverb,The stag carries the weight of its antlers quietly. Antlers grow a little each year — never all at once. So does steadiness.,WHAT HAS GROWN QUIETLY IN YOU OVER THE LAST FOUR MONTHS?,WHAT IS ONE THING YOU'RE PROUD OF THIS MONTH?,"WHAT WAS HARD, AND HOW DID YOU GET THROUGH IT?",THE STAG IS STRONGER THAN ITS EXCUSES. WHICH EXCUSE HAVE YOU OUTGROWN?,FREE WRITE — ANYTHING THAT NEEDS TO COME OUT.,leaf green,soft mint tint,#37C86F,#B8E4C5,,,
5,FIVE MONTHS,Kraken Lighthouse,yes,5-month coin · kraken lighthouse,"It does not matter how slowly you go, so long as you do not stop.",Confucius,"The lighthouse does not chase the storm. It stands where the rocks are worst, and holds one light steady. Slow is fine. Stopping is the only danger.",WHEN DID YOU CATCH YOURSELF ALMOST STOPPING — AND WHAT BROUGHT YOU BACK?,WHAT IS ONE THING YOU'RE PROUD OF THIS MONTH?,"WHAT WAS HARD, AND HOW DID YOU GET THROUGH IT?",THE LIGHTHOUSE STANDS SLOWLY. WHERE ARE YOU HOLDING STEADY?,FREE WRITE — ANYTHING THAT NEEDS TO COME OUT.,medium blue,soft periwinkle tint,#4D7BCC,#C5D2EC,,,
6,SIX MONTHS,Koi,yes,6-month coin · koi,Success is the sum of small efforts repeated day in and day out.,Robert Collier,"The koi swims upstream. Persistence. Effort repeated daily. The river does not get easier, but the swimmer does.",YOU ARE HALFWAY THROUGH THE FIRST YEAR. WHAT HAS CHANGED IN YOU?,WHAT IS ONE THING YOU'RE PROUD OF THIS HALF-YEAR?,"WHAT WAS HARD, AND HOW DID YOU GET THROUGH IT?",THE KOI SWIMS UPSTREAM. WHERE IN YOUR LIFE ARE YOU STILL SWIMMING?,FREE WRITE — ANYTHING THAT NEEDS TO COME OUT.,medium blue,soft periwinkle tint,#4D7BCC,#C5D2EC,,,
7,SEVEN MONTHS,anchor (line art),no,Coin design coming soon · anchor,The beginning is the most important part of the work.,Plato,The anchor does not keep the boat from moving — it keeps it from drifting. Settling. Holding. A quiet kind of strength.,WHAT IS ONE WAY YOU FEEL MORE SETTLED NOW THAN YOU DID A MONTH AGO?,WHAT IS ONE THING YOU'RE PROUD OF THIS MONTH?,"WHAT WAS HARD, AND HOW DID YOU GET THROUGH IT?",THE ANCHOR HOLDS. WHAT ARE YOU LEARNING TO HOLD?,FREE WRITE — ANYTHING THAT NEEDS TO COME OUT.,medium blue,soft periwinkle tint,#4D7BCC,#C5D2EC,anchor,Anchor (line art),
8,EIGHT MONTHS,river bend (line art),no,Coin design coming soon · river bend,What we do in life echoes in eternity.,Marcus Aurelius,A river bend does not mean the river has stopped. The path curves. The current still carries. You are still moving.,WHERE HAS THE PATH CURVED FOR YOU LATELY — IN WAYS YOU DIDN'T EXPECT?,WHAT IS ONE THING YOU'RE PROUD OF THIS MONTH?,"WHAT WAS HARD, AND HOW DID YOU GET THROUGH IT?",THE RIVER BENDS. WHAT CURVE ARE YOU NAVIGATING RIGHT NOW?,FREE WRITE — ANYTHING THAT NEEDS TO COME OUT.,medium blue,soft periwinkle tint,#4D7BCC,#C5D2EC,river bend,River bend (line art),
9,NINE MONTHS,Fox in Snow,yes,9-month coin · fox in snow,We don't receive wisdom; we must discover it for ourselves.,Marcel Proust,The fox crosses snow without leaving a track. Quiet movement. Listening more than speaking. Knowing which prints to leave behind.,WHAT HAS QUIET LISTENING TAUGHT YOU RECENTLY?,WHAT IS ONE THING YOU'RE PROUD OF THIS MONTH?,"WHAT WAS HARD, AND HOW DID YOU GET THROUGH IT?",THE FOX CROSSES WITHOUT A TRACK. WHICH OLD PRINT ARE YOU LEAVING BEHIND?,FREE WRITE — ANYTHING THAT NEEDS TO COME OUT.,medium blue,soft periwinkle tint,#4D7BCC,#C5D2EC,,,
10,TEN MONTHS,tree (line art),no,Coin design coming soon · tree,We are not human beings having a spiritual experience. We are spiritual beings having a human experience.,Pierre Teilhard de Chardin,The tree does not rush the season. Roots grow out of sight. The trunk thickens before the branches spread. Two months from one year.,WHAT IS GROWING IN YOU THAT NO ONE ELSE CAN SEE YET?,WHAT IS ONE THING YOU'RE PROUD OF THIS MONTH?,"WHAT WAS HARD, AND HOW DID YOU GET THROUGH IT?",THE TREE GROWS DEEP BEFORE IT GROWS WIDE. WHERE ARE YOUR ROOTS?,FREE WRITE — ANYTHING THAT NEEDS TO COME OUT.,leaf green,soft mint tint,#37C86F,#B8E4C5,rooted tree,Rooted tree (line art),
