month,flower_names,flower_details,image_url
January,"Carnation, Snowdrop","The January birth flower is the carnation, symbolizing love, fascination, and pure affection. With its ruffled petals and sweet fragrance, the carnation has been a beloved flower for centuries, often worn to honor loved ones and mark special occasions.",https://raw.githubusercontent.com/catherinebb272/PC-Cycle-Count-/main/birthflower-january-carnation.jpg
February,"Violet, Primrose","The February birth flower is the violet, representing modesty, loyalty, and spiritual wisdom. These delicate purple blooms bring comfort and hope in the depths of winter, reminding us that beauty persists even in the coldest seasons.",https://raw.githubusercontent.com/catherinebb272/PC-Cycle-Count-/main/birthflower-february-violet.jpg
March,"Daffodil, Jonquil","The March birth flower is the daffodil, heralding new beginnings, rebirth, and undeniable optimism. As one of the first flowers to bloom in spring, the daffodil's cheerful yellow petals symbolize resilience and the promise of brighter days ahead.",https://raw.githubusercontent.com/catherinebb272/PC-Cycle-Count-/main/birthflower-march-daffodil.jpg
April,"Daisy, Sweet Pea","The April birth flower is the daisy, embodying innocence, purity, and loyal love. With their simple, joyful faces, daisies remind us to find beauty in simplicity and to approach life with a pure and open heart.",https://raw.githubusercontent.com/catherinebb272/PC-Cycle-Count-/main/birthflower-april-daisy.jpg
May,"Lily of the Valley, Hawthorn","The May birth flower is the lily of the valley, symbolizing sweetness, happiness, and the return of happiness. These delicate, bell-shaped flowers fill the air with their enchanting fragrance each spring, marking the most joyous season of the year.",https://raw.githubusercontent.com/catherinebb272/PC-Cycle-Count-/main/birthflower-may-lilyofthevalley.jpg
June,"Rose, Honeysuckle","The June birth flower is the rose, the timeless symbol of love, passion, and romance. With its velvety petals and intoxicating fragrance, the rose has captivated hearts for millennia, making it the ultimate expression of deep affection.",https://raw.githubusercontent.com/catherinebb272/PC-Cycle-Count-/main/birthflower-june-rose.jpg
July,"Larkspur, Water Lily","The July birth flower is the larkspur, representing positivity, lightness, and an open heart. These tall, colorful spires bloom throughout summer, their delicate flowers speaking to joy, celebration, and the warmth of the season.",https://raw.githubusercontent.com/catherinebb272/PC-Cycle-Count-/main/birthflower-july-larkspur.jpg
August,"Gladiolus, Poppy","The August birth flower is the gladiolus, symbolizing strength, integrity, and moral character. Standing tall with sword-like leaves and dramatic flower spikes, the gladiolus represents resilience and the courage to stand firm in one's beliefs.",https://raw.githubusercontent.com/catherinebb272/PC-Cycle-Count-/main/birthflower-august-gladiolus.jpg
September,"Aster, Morning Glory","The September birth flower is the aster, embodying patience, elegance, and refined beauty. These daisy-like blooms burst with color in late summer and fall, bringing warmth and charm to the changing seasons.",https://raw.githubusercontent.com/catherinebb272/PC-Cycle-Count-/main/birthflower-september-aster.jpg
October,"Marigold, Cosmos","The October birth flower is the marigold, representing creativity, passion, and warm, radiant energy. With their bold orange and golden hues, marigolds light up autumn gardens, symbolizing the creative spark and adventurous spirit.",https://raw.githubusercontent.com/catherinebb272/PC-Cycle-Count-/main/birthflower-october-marigold.jpg
November,"Chrysanthemum","The November birth flower is the chrysanthemum, symbolizing friendship, loyalty, and honest joy. Often called 'mums,' these lush, colorful blooms are a favorite for fall gardens, celebrating the deep bonds of friendship and the warmth of true loyalty.",https://raw.githubusercontent.com/catherinebb272/PC-Cycle-Count-/main/birthflower-november-chrysanthemum.jpg
December,"Narcissus, Holly","The December birth flower is the narcissus, particularly the paperwhite, representing hope, rebirth, and new beginnings. These fragrant, trumpet-shaped flowers bloom in the depths of winter, bringing the promise of light and renewal during the darkest days.",https://raw.githubusercontent.com/catherinebb272/PC-Cycle-Count-/main/birthflower-december-narcissus.jpg
