Title,Description,Tags
"Sobriety Anniversary Card January Carnation - Downloadable Printable Recovery Gift - Sober Birthday Card","•••

CELEBRATE YOUR SOBER JOURNEY •••

This beautiful January sobriety anniversary card features the carnation — symbolizing fresh love for life and new beginnings. Perfect for marking any January milestone in recovery.

**WHAT YOU GET**
- High-resolution 5"" x 7"" printable greeting card (PDF)
- Interior blank for your personal message
- Back of card features the meaning of the carnation

**BACK OF CARD**
The January birth flower is the carnation, symbolizing love, fascination, and pure affection. With its ruffled petals and sweet fragrance, the carnation has been a beloved flower for centuries, often worn to honor loved ones and mark special occasions.

**HOW TO PRINT**
- Recommended: Cardstock paper (80-110 lb)
- Print settings: ""Best quality"" or ""Photo paper""
- Fold along dotted line for a perfectly sized card
- Colors may vary slightly based on your printer

**ABOUT APART NOT ALONE**
We are a small business founded by people in recovery, creating meaningful secular sobriety milestone coins and cards. Our mission is to celebrate the journey without religious language — because recovery is personal, and every sober moment deserves recognition.

**WHAT ELSE WE OFFER**
Browse our collection of sobriety milestone coins from 1 Month to 3 Years. Custom orders welcomed. All designs are original artwork.

**Tags:** sobriety, soberversary, anniversary, recovery, downloadable, printable, greeting card, encouragement, gift, support, addiction recovery, january, carnation","sobriety, soberversary, anniversary, recovery, downloadable, printable, greeting card, encouragement, gift, support, addiction recovery, january, carnation"
"Sobriety Anniversary Card February Violet - Downloadable Printable Encouragement Card - Sober Birthday Card","•••

CELEBRATE YOUR SOBER JOURNEY •••

This beautiful February sobriety anniversary card features the violet — symbolizing loyalty to your journey and inner wisdom. Perfect for marking any February milestone in recovery.

**WHAT YOU GET**
- High-resolution 5"" x 7"" printable greeting card (PDF)
- Interior blank for your personal message
- Back of card features the meaning of the violet

**BACK OF CARD**
The February birth flower is the violet, representing modesty, loyalty, and spiritual wisdom. These delicate purple blooms bring comfort and hope in the depths of winter, reminding us that beauty persists even in the coldest seasons.

**HOW TO PRINT**
- Recommended: Cardstock paper (80-110 lb)
- Print settings: ""Best quality"" or ""Photo paper""
- Fold along dotted line for a perfectly sized card
- Colors may vary slightly based on your printer

**ABOUT APART NOT ALONE**
We are a small business founded by people in recovery, creating meaningful secular sobriety milestone coins and cards. Our mission is to celebrate the journey without religious language — because recovery is personal, and every sober moment deserves recognition.

**WHAT ELSE WE OFFER**
Browse our collection of sobriety milestone coins from 1 Month to 3 Years. Custom orders welcomed. All designs are original artwork.

**Tags:** sobriety, soberversary, anniversary, recovery, downloadable, printable, greeting card, encouragement, gift, support, addiction recovery, february, violet","sobriety, soberversary, anniversary, recovery, downloadable, printable, greeting card, encouragement, gift, support, addiction recovery, february, violet"
"Sobriety Anniversary Card March Daffodil - Downloadable Printable Celebration Card - Sober Birthday Card","•••

CELEBRATE YOUR SOBER JOURNEY •••

This beautiful March sobriety anniversary card features the daffodil — symbolizing new beginnings, rebirth, and bright optimism. Perfect for marking any March milestone in recovery.

**WHAT YOU GET**
- High-resolution 5"" x 7"" printable greeting card (PDF)
- Interior blank for your personal message
- Back of card features the meaning of the daffodil

**BACK OF CARD**
The March birth flower is the daffodil, heralding new beginnings, rebirth, and undeniable optimism. As one of the first flowers to bloom in spring, the daffodil's cheerful yellow petals symbolize resilience and the promise of brighter days ahead.

**HOW TO PRINT**
- Recommended: Cardstock paper (80-110 lb)
- Print settings: ""Best quality"" or ""Photo paper""
- Fold along dotted line for a perfectly sized card
- Colors may vary slightly based on your printer

**ABOUT APART NOT ALONE**
We are a small business founded by people in recovery, creating meaningful secular sobriety milestone coins and cards. Our mission is to celebrate the journey without religious language — because recovery is personal, and every sober moment deserves recognition.

**WHAT ELSE WE OFFER**
Browse our collection of sobriety milestone coins from 1 Month to 3 Years. Custom orders welcomed. All designs are original artwork.

**Tags:** sobriety, soberversary, anniversary, recovery, downloadable, printable, greeting card, encouragement, gift, support, addiction recovery, march, daffodil","sobriety, soberversary, anniversary, recovery, downloadable, printable, greeting card, encouragement, gift, support, addiction recovery, march, daffodil"
"Sobriety Anniversary Card April Daisy - Downloadable Printable Motivational Card - Sober Birthday Card","•••

CELEBRATE YOUR SOBER JOURNEY •••

This beautiful April sobriety anniversary card features the daisy — symbolizing innocence, purity, and loyal love. Perfect for marking any April milestone in recovery.

**WHAT YOU GET**
- High-resolution 5"" x 7"" printable greeting card (PDF)
- Interior blank for your personal message
- Back of card features the meaning of the daisy

**BACK OF CARD**
The April birth flower is the daisy, embodying innocence, purity, and loyal love. With their simple, joyful faces, daisies remind us to find beauty in simplicity and to approach life with a pure and open heart.

**HOW TO PRINT**
- Recommended: Cardstock paper (80-110 lb)
- Print settings: ""Best quality"" or ""Photo paper""
- Fold along dotted line for a perfectly sized card
- Colors may vary slightly based on your printer

**ABOUT APART NOT ALONE**
We are a small business founded by people in recovery, creating meaningful secular sobriety milestone coins and cards. Our mission is to celebrate the journey without religious language — because recovery is personal, and every sober moment deserves recognition.

**WHAT ELSE WE OFFER**
Browse our collection of sobriety milestone coins from 1 Month to 3 Years. Custom orders welcomed. All designs are original artwork.

**Tags:** sobriety, soberversary, anniversary, recovery, downloadable, printable, greeting card, encouragement, gift, support, addiction recovery, april, daisy","sobriety, soberversary, anniversary, recovery, downloadable, printable, greeting card, encouragement, gift, support, addiction recovery, april, daisy"
"Sobriety Anniversary Card May Lily of the Valley - Downloadable Printable Inspirational Card - Sober Birthday Card","•••

CELEBRATE YOUR SOBER JOURNEY •••

This beautiful May sobriety anniversary card features the lily of the valley — symbolizing sweetness, happiness, and the return of joy. Perfect for marking any May milestone in recovery.

**WHAT YOU GET**
- High-resolution 5"" x 7"" printable greeting card (PDF)
- Interior blank for your personal message
- Back of card features the meaning of the lily of the valley

**BACK OF CARD**
The May birth flower is the lily of the valley, symbolizing sweetness, happiness, and the return of happiness. These delicate, bell-shaped flowers fill the air with their enchanting fragrance each spring, marking the most joyous season of the year.

**HOW TO PRINT**
- Recommended: Cardstock paper (80-110 lb)
- Print settings: ""Best quality"" or ""Photo paper""
- Fold along dotted line for a perfectly sized card
- Colors may vary slightly based on your printer

**ABOUT APART NOT ALONE**
We are a small business founded by people in recovery, creating meaningful secular sobriety milestone coins and cards. Our mission is to celebrate the journey without religious language — because recovery is personal, and every sober moment deserves recognition.

**WHAT ELSE WE OFFER**
Browse our collection of sobriety milestone coins from 1 Month to 3 Years. Custom orders welcomed. All designs are original artwork.

**Tags:** sobriety, soberversary, anniversary, recovery, downloadable, printable, greeting card, encouragement, gift, support, addiction recovery, may, lily of the valley","sobriety, soberversary, anniversary, recovery, downloadable, printable, greeting card, encouragement, gift, support, addiction recovery, may, lily of the valley"
"Sobriety Anniversary Card June Rose - Downloadable Printable Anniversary Card - Sober Birthday Card","•••

CELEBRATE YOUR SOBER JOURNEY •••

This beautiful June sobriety anniversary card features the rose — symbolizing love, passion, and romance for your new life. Perfect for marking any June milestone in recovery.

**WHAT YOU GET**
- High-resolution 5"" x 7"" printable greeting card (PDF)
- Interior blank for your personal message
- Back of card features the meaning of the rose

**BACK OF CARD**
The June birth flower is the rose, the timeless symbol of love, passion, and romance. With its velvety petals and intoxicating fragrance, the rose has captivated hearts for millennia, making it the ultimate expression of deep affection.

**HOW TO PRINT**
- Recommended: Cardstock paper (80-110 lb)
- Print settings: ""Best quality"" or ""Photo paper""
- Fold along dotted line for a perfectly sized card
- Colors may vary slightly based on your printer

**ABOUT APART NOT ALONE**
We are a small business founded by people in recovery, creating meaningful secular sobriety milestone coins and cards. Our mission is to celebrate the journey without religious language — because recovery is personal, and every sober moment deserves recognition.

**WHAT ELSE WE OFFER**
Browse our collection of sobriety milestone coins from 1 Month to 3 Years. Custom orders welcomed. All designs are original artwork.

**Tags:** sobriety, soberversary, anniversary, recovery, downloadable, printable, greeting card, encouragement, gift, support, addiction recovery, june, rose","sobriety, soberversary, anniversary, recovery, downloadable, printable, greeting card, encouragement, gift, support, addiction recovery, june, rose"
"Sobriety Anniversary Card July Larkspur - Downloadable Printable Gift Card - Sober Birthday Card","•••

CELEBRATE YOUR SOBER JOURNEY •••

This beautiful July sobriety anniversary card features the larkspur — symbolizing positivity, lightness, and an open heart. Perfect for marking any July milestone in recovery.

**WHAT YOU GET**
- High-resolution 5"" x 7"" printable greeting card (PDF)
- Interior blank for your personal message
- Back of card features the meaning of the larkspur

**BACK OF CARD**
The July birth flower is the larkspur, representing positivity, lightness, and an open heart. These tall, colorful spires bloom throughout summer, their delicate flowers speaking to joy, celebration, and the warmth of the season.

**HOW TO PRINT**
- Recommended: Cardstock paper (80-110 lb)
- Print settings: ""Best quality"" or ""Photo paper""
- Fold along dotted line for a perfectly sized card
- Colors may vary slightly based on your printer

**ABOUT APART NOT ALONE**
We are a small business founded by people in recovery, creating meaningful secular sobriety milestone coins and cards. Our mission is to celebrate the journey without religious language — because recovery is personal, and every sober moment deserves recognition.

**WHAT ELSE WE OFFER**
Browse our collection of sobriety milestone coins from 1 Month to 3 Years. Custom orders welcomed. All designs are original artwork.

**Tags:** sobriety, soberversary, anniversary, recovery, downloadable, printable, greeting card, encouragement, gift, support, addiction recovery, july, larkspur","sobriety, soberversary, anniversary, recovery, downloadable, printable, greeting card, encouragement, gift, support, addiction recovery, july, larkspur"
"Sobriety Anniversary Card August Gladiolus - Downloadable Printable Strength Card - Sober Birthday Card","•••

CELEBRATE YOUR SOBER JOURNEY •••

This beautiful August sobriety anniversary card features the gladiolus — symbolizing strength, integrity, and moral character. Perfect for marking any August milestone in recovery.

**WHAT YOU GET**
- High-resolution 5"" x 7"" printable greeting card (PDF)
- Interior blank for your personal message
- Back of card features the meaning of the gladiolus

**BACK OF CARD**
The August birth flower is the gladiolus, symbolizing strength, integrity, and moral character. Standing tall with sword-like leaves and dramatic flower spikes, the gladiolus represents resilience and the courage to stand firm in one's beliefs.

**HOW TO PRINT**
- Recommended: Cardstock paper (80-110 lb)
- Print settings: ""Best quality"" or ""Photo paper""
- Fold along dotted line for a perfectly sized card
- Colors may vary slightly based on your printer

**ABOUT APART NOT ALONE**
We are a small business founded by people in recovery, creating meaningful secular sobriety milestone coins and cards. Our mission is to celebrate the journey without religious language — because recovery is personal, and every sober moment deserves recognition.

**WHAT ELSE WE OFFER**
Browse our collection of sobriety milestone coins from 1 Month to 3 Years. Custom orders welcomed. All designs are original artwork.

**Tags:** sobriety, soberversary, anniversary, recovery, downloadable, printable, greeting card, encouragement, gift, support, addiction recovery, august, gladiolus","sobriety, soberversary, anniversary, recovery, downloadable, printable, greeting card, encouragement, gift, support, addiction recovery, august, gladiolus"
"Sobriety Anniversary Card September Aster - Downloadable Printable Elegant Card - Sober Birthday Card","•••

CELEBRATE YOUR SOBER JOURNEY •••

This beautiful September sobriety anniversary card features the aster — symbolizing patience, elegance, and refined beauty. Perfect for marking any September milestone in recovery.

**WHAT YOU GET**
- High-resolution 5"" x 7"" printable greeting card (PDF)
- Interior blank for your personal message
- Back of card features the meaning of the aster

**BACK OF CARD**
The September birth flower is the aster, embodying patience, elegance, and refined beauty. These daisy-like blooms burst with color in late summer and fall, bringing warmth and charm to the changing seasons.

**HOW TO PRINT**
- Recommended: Cardstock paper (80-110 lb)
- Print settings: ""Best quality"" or ""Photo paper""
- Fold along dotted line for a perfectly sized card
- Colors may vary slightly based on your printer

**ABOUT APART NOT ALONE**
We are a small business founded by people in recovery, creating meaningful secular sobriety milestone coins and cards. Our mission is to celebrate the journey without religious language — because recovery is personal, and every sober moment deserves recognition.

**WHAT ELSE WE OFFER**
Browse our collection of sobriety milestone coins from 1 Month to 3 Years. Custom orders welcomed. All designs are original artwork.

**Tags:** sobriety, soberversary, anniversary, recovery, downloadable, printable, greeting card, encouragement, gift, support, addiction recovery, september, aster","sobriety, soberversary, anniversary, recovery, downloadable, printable, greeting card, encouragement, gift, support, addiction recovery, september, aster"
"Sobriety Anniversary Card October Marigold - Downloadable Printable Creative Card - Sober Birthday Card","•••

CELEBRATE YOUR SOBER JOURNEY •••

This beautiful October sobriety anniversary card features the marigold — symbolizing creativity, passion, and radiant energy. Perfect for marking any October milestone in recovery.

**WHAT YOU GET**
- High-resolution 5"" x 7"" printable greeting card (PDF)
- Interior blank for your personal message
- Back of card features the meaning of the marigold

**BACK OF CARD**
The October birth flower is the marigold, representing creativity, passion, and warm, radiant energy. With their bold orange and golden hues, marigolds light up autumn gardens, symbolizing the creative spark and adventurous spirit.

**HOW TO PRINT**
- Recommended: Cardstock paper (80-110 lb)
- Print settings: ""Best quality"" or ""Photo paper""
- Fold along dotted line for a perfectly sized card
- Colors may vary slightly based on your printer

**ABOUT APART NOT ALONE**
We are a small business founded by people in recovery, creating meaningful secular sobriety milestone coins and cards. Our mission is to celebrate the journey without religious language — because recovery is personal, and every sober moment deserves recognition.

**WHAT ELSE WE OFFER**
Browse our collection of sobriety milestone coins from 1 Month to 3 Years. Custom orders welcomed. All designs are original artwork.

**Tags:** sobriety, soberversary, anniversary, recovery, downloadable, printable, greeting card, encouragement, gift, support, addiction recovery, october, marigold","sobriety, soberversary, anniversary, recovery, downloadable, printable, greeting card, encouragement, gift, support, addiction recovery, october, marigold"
"Sobriety Anniversary Card November Chrysanthemum - Downloadable Printable Card - Sober Birthday Card","•••

CELEBRATE YOUR SOBER JOURNEY •••

This beautiful November sobriety anniversary card features the chrysanthemum — symbolizing friendship, loyalty, and honest joy. Perfect for marking any November milestone in recovery.

**WHAT YOU GET**
- High-resolution 5"" x 7"" printable greeting card (PDF)
- Interior blank for your personal message
- Back of card features the meaning of the chrysanthemum

**BACK OF CARD**
The November birth flower is the chrysanthemum, symbolizing friendship, loyalty, and honest joy. Often called 'mums,' these lush, colorful blooms are a favorite for fall gardens, celebrating the deep bonds of friendship and the warmth of true loyalty.

**HOW TO PRINT**
- Recommended: Cardstock paper (80-110 lb)
- Print settings: ""Best quality"" or ""Photo paper""
- Fold along dotted line for a perfectly sized card
- Colors may vary slightly based on your printer

**ABOUT APART NOT ALONE**
We are a small business founded by people in recovery, creating meaningful secular sobriety milestone coins and cards. Our mission is to celebrate the journey without religious language — because recovery is personal, and every sober moment deserves recognition.

**WHAT ELSE WE OFFER**
Browse our collection of sobriety milestone coins from 1 Month to 3 Years. Custom orders welcomed. All designs are original artwork.

**Tags:** sobriety, soberversary, anniversary, recovery, downloadable, printable, greeting card, encouragement, gift, support, addiction recovery, november, chrysanthemum","sobriety, soberversary, anniversary, recovery, downloadable, printable, greeting card, encouragement, gift, support, addiction recovery, november, chrysanthemum"
