page_num,cycle_num,page_in_cycle,page_type,section,line_art_id,art_id,tint_id,heading,subheading,body,affirmation,prompt_1,prompt_2,prompt_3,cue,page_label,draft,status; notes
1,,,intro,front,,,,Welcome,,This is a journal for any kind of recovery journey. Move at your own pace. The date line is yours to fill in.,,,,,,,draft,p1 = logo + wordmark
2,,,intro,front,,,,Why this journal exists,,"This journal holds space for reflection — not prescriptions. Twelve cycles, paced by you. There is no wrong way to use it.",,,,,,,draft,welcome copy TBD
3,1,1,reflection,cycle,torii,,soft_sky,,,,Today will be a great day,,,,,Cycle 1-1,draft,affirmation: 'Today will be a great day'
4,1,2,reflection,cycle,torii,,soft_sky,,,,You are allowed to begin again,,,,,Cycle 1-2,draft,affirmation: 'You are allowed to begin again'
5,1,3,reflection,cycle,torii,,soft_sky,,,,The door is open. You walked through.,,,,,Cycle 1-3,draft,affirmation: 'The door is open. You walked through.'
6,1,4,reflection,cycle,torii,,soft_sky,,,,"Day one energy is overrated, just show up",,,,,Cycle 1-4,draft,"affirmation: 'Day one energy is overrated, just show up'"
7,1,5,reflection,cycle,torii,,soft_sky,,,,"Small steps count, even tiny ones",,,,,Cycle 1-5,draft,"affirmation: 'Small steps count, even tiny ones'"
8,1,6,reflection,cycle,torii,,soft_sky,,,,"You made it here, that's not nothing",,,,,Cycle 1-6,draft,"affirmation: ""You made it here, that's not nothing"""
9,1,7,reflection,cycle,torii,,soft_sky,,,,Be patient with the new version of you,,,,,Cycle 1-7,draft,affirmation: 'Be patient with the new version of you'
10,1,8,goal,cycle,torii,,soft_sky,Setting an Intention,,,,,,,,draft,draft,goal prompt 1+2 TBD
11,1,9,recap_left,cycle,torii,recap_01_torii,soft_sky,,,,,,,,,draft,draft,full-bleed watercolor; art source TBD
12,1,10,recap_right,cycle,,,soft_sky,,Looking Back at the Last 7 Entries,,,,,,,draft,draft,recap prompts 1+2+3 TBD
13,2,1,reflection,cycle,waterfall_lily,,soft_mint,,,,"Let it move through you, not stick",,,,,Cycle 2-1,draft,"affirmation: 'Let it move through you, not stick'"
14,2,2,reflection,cycle,waterfall_lily,,soft_mint,,,,You don't have to hold it all,,,,,Cycle 2-2,draft,"affirmation: ""You don't have to hold it all"""
15,2,3,reflection,cycle,waterfall_lily,,soft_mint,,,,Stillness is allowed in motion,,,,,Cycle 2-3,draft,affirmation: 'Stillness is allowed in motion'
