"Neighborhood Name","Neighborhoods Detail (Items)","Description","Tags","AreaParks","Average Home Price","Main Image","ID","Created Date","Updated Date","Owner","Metro Area","Notes","Medical Nearby","Country Club Name","Waitlist golf?","Golf Notes","Photo Gallery","Publish Date","Unpublish Date","Status"
"Croasdaile","/neighborhoods-1/croasdaile","Croasdaile is a quiet, established community in northwest Durham known for its spacious homes, wooded lots, and relaxed suburban atmosphere. Many parts of the neighborhood are centered around the private Croasdaile Country Club, giving the area a classic golf-community feel with mature landscaping and winding streets. Residents value the peaceful setting and larger properties while still being only a short drive from downtown Durham and Duke University.","college-town,gritty-quirky,outer-suburb,golf-community,established-trees,large-lots,lake-river-access,medical-accessible,nature-preserve,custom-homes","Eno River State Park","<p class=""font_8"">$990,000</p>","wix:image://v1/de450f_7aa75a31e35340fb825b87e7cf3a4e6a~mv2.png/Croasdaile.png#originWidth=400&originHeight=271","1e2cfe82-2cbe-4473-af7d-25791c568f44",2026-03-11T20:26:10Z,2026-03-18T14:21:37Z,"de450f76-16a9-4dc8-be7c-c2b9081fbbf8","Durham","Lots of Colonial, Georgian and ranch houses on big lots.  Just north of  I-85 in NW Durham","Duke Health","Croasdaile Country Club",,"Course is well-maintained, more relaxed and neighborhood-oriented, less old-money prestige, but very solid golf and convenient location.  Good practice facilities, full amenities including pickleball",,2026-03-11T20:26:19Z,,"PUBLISHED"
"Piper Glen","/neighborhoods-1/piper-glen","A polished 1990s master-planned golf community where large homes, mature landscaping, and country-club amenities create a classic South Charlotte suburban lifestyle with easy access to the city’s best shopping in Southpark.  ","polished-suburban,golf-community,medical-accessible,traffic-moderate,trail-system,established-trees,mid-range,premium,medical-accessible,outer-surbub,","4 mile Greenway","$965,000","wix:image://v1/de450f_bfdb134cdb554e46bc7e48ff514e0b96~mv2.png/PiperGlen.png#originWidth=508&originHeight=315","3a47690c-ba0d-4300-bd1d-e37c663d9515",2026-03-11T20:44:22Z,2026-03-18T14:13:32Z,"de450f76-16a9-4dc8-be7c-c2b9081fbbf8","Charlotte","Drove around, very pretty area with hills and trees.  Suburban feel, near the Interstate. Estates, townhomes, and smaller homes.","Atrium","Piper Glen TPC invited",,"TPC Piper Glen golf course is a bit rough on the cart paths, pretty course.  Invited Club, no big waitlist.",,2026-03-11T20:26:19Z,,"PUBLISHED"
"Downtown Cary","/neighborhoods-1/downtown-cary","Vital urban style in a suburb of Raleigh. Fancy City park surrounded by Townhomes","walkable,inner-suburb,mixed-age, traffic-moderate,developed-park,established-trees,gritty-quirky,transitional","Cary City Park","<p class=""font_8"">$1.25M</p>","wix:image://v1/de450f_2abbd35738424980b9d6896e6f836f1a~mv2.jpg/Downtown%20Cary.jpg#originWidth=800&originHeight=600","61f6ac69-a12d-41f2-a0b8-dfc8a53e750c",2026-03-11T23:58:50Z,2026-03-17T16:18:09Z,"de450f76-16a9-4dc8-be7c-c2b9081fbbf8","Raleigh","700k teardowns, $1M townhomes, $1.5M houses","WakeMed","Prestonwood CC, Brier Creek",true,"Prestonwood has multi-year wait.  20 min Drive to Brier Creek.",,2026-03-11T23:58:50Z,,"PUBLISHED"
"MacGregor Downs","/neighborhoods-1/macgregor-downs","A classic, upscale golf‑course community where mature trees, lakeside views, and elegant homes blend with country‑club social life and easy access to the best of Cary living.  Very close to Waverly Place shopping and WakeMed.","polished-suburban,golf-community,traffic-moderate,established-trees,premium,custom-homes,medical-hub, nature-preserve,lake-river-access,large-lots,golf-community,quiet-residential,inner-suburb","Cary City Park, Hemlock Bluff","$1.5M","wix:image://v1/de450f_38cac6363d7c4386957100ddb92f3785~mv2.png/MacGregorDowns.png#originWidth=1248&originHeight=862","68fba607-24b2-43dc-953e-1f62a43df0ec",2026-03-11T21:13:55Z,2026-03-18T13:55:56Z,"de450f76-16a9-4dc8-be7c-c2b9081fbbf8","Raleigh","Very fancy, constant teardowns, mix of styles from mid-century to French chateau. MacGregor Lake only for the country club","WakeMed","MacGregor Downs",true,"Long waitlist confirmed.  Lovely course.  Limited options in the area.  25 min to Brier Creek",,2026-03-11T21:02:47Z,,"PUBLISHED"
"Ballantyne","/neighborhoods-1/ballantyne","The Ballantyne area is an affluent, master-planned suburban community in south Charlotte developed on the historic Ballantyne Ranch in the 1990s. It features upscale homes, business and entertainment center. With manicured landscapes, top schools, and shopping at Ballantyne Village, it offers a polished, self-contained suburban experience.","polished-suburban, outer-suburban,traffic-moderate,golf-community,medical-accessible,premium,developed-parks,cookie-cutter,","Ballantyne Bowl, neighborhood parks","<p class=""font_8"">$700k</p>","wix:image://v1/de450f_5d2c3f305e9949df9256c7f1dcdff66a~mv2.png/Ballentyne%20Bowl.png#originWidth=645&originHeight=450","6b520532-3e01-468d-b77c-ee2d5302a4ac",2026-03-11T20:42:41Z,2026-03-18T14:19:02Z,"de450f76-16a9-4dc8-be7c-c2b9081fbbf8","Charlotte","Feels like Plano.  Has big suburban mixed use Ballentyne Bowl.  ","Atrium","Ballentyne, Piper Glen,Firethorn",,"Piper Glen (asphalt cart path) and Firethorn in Waxhaw are Invited clubs.   Don't think either has a waitlist.  Ballentyne is more popular, long wait.  ",,2026-03-11T20:26:19Z,,"PUBLISHED"
"Meadow-mont","/neighborhoods-1/meadow-mont","Upscale college town with UNC campus energy. Established 2000s hilly neighborhood with mature trees and a vibrant intellectual community.  Saw house here.","polished-suburban,established-trees,quaint-downtown,premium,college-town,medical-hub,inner-suburb,nature-preserve,trail-system","Carolina Forest, local ponds&trails","<p class=""font_8"">$1.2M</p>","wix:image://v1/de450f_02a7813c3ed4418ba82a657f97ce1d0c~mv2.png/Meadowmont%20102%20Parkridge.png#originWidth=1311&originHeight=1033","a8e0016f-02ac-47c2-ba90-3a4552a3c8b1",2026-03-11T22:12:26Z,2026-03-17T16:32:11Z,"de450f76-16a9-4dc8-be7c-c2b9081fbbf8","Chapel Hill","Chapel Hill offers a unique blend of academic prestige and Southern charm. Home to the University of North Carolina, the town maintains a youthful, intellectual atmosphere while preserving its historic character. The downtown area features locally-owned restaurants, bookstores, and the iconic Franklin Street. Neighborhoods range from historic homes near campus to newer developments with golf course access. The town prioritizes green space with an extensive trail system and well-maintained parks. Housing tends toward the premium side, reflecting the desirability of the area and excellent school system.","UNC Health","Chapel Hill Country Club",true,"Several years wait",,2026-03-11T22:12:35Z,,"PUBLISHED"
"Plaza Midwood","/neighborhoods-1/plaza-midpark","Walkable urban neighborhood near downtown with shops & restaurants. Historic and new infill homes","urban-core,mixed-age, medical-hub,traffic-heavy,established-trees,medical-hub,premium,compact-lots,","Midwood, Veterans","$800,000","wix:image://v1/de450f_b50a06f80fdb4b0cae1bce568f23e6d8~mv2.png/CharlotteMidpark.heic#originWidth=4284&originHeight=5712","b2cc3077-722d-421f-ba9d-3ce3bd0e5fa6",2026-03-11T17:34:01Z,2026-03-18T15:55:31Z,"de450f76-16a9-4dc8-be7c-c2b9081fbbf8","Charlotte","Narrow streets, urban traffic and noise.  Vibrant engaged community, social district","Novant","Charlotte Country Club",true,"long wait, sky-high dues like DCC",,2026-03-11T17:34:01Z,,"PUBLISHED"
"Matthews","/neighborhoods-1/matthews","A charming suburban town southeast of Charlotte that has managed to preserve its small-town soul while growing into a desirable residential community. ","outer-suburb,traffic-moderate,mid-range,mixed-age,quaint-downtown,established-trees,trail-system, quiet-residential ","Beatty Park, 4 mile Greenway","$600,000","wix:image://v1/de450f_29e02df438154eeba524a98d676a7e06~mv2.jpg/Downtown%20Matthews.jfif#originWidth=3318&originHeight=2212","c3aefaf7-1da9-4736-ae82-b96a8ea7d788",2026-03-11T22:23:11Z,2026-03-17T16:23:56Z,"de450f76-16a9-4dc8-be7c-c2b9081fbbf8","Charlotte","The downtown district (have seen) offers alternative to typical strip malls: locally-owned shops, diverse restaurants, and the Matthews Farmers Market.  Novant and Atrium both here.   Median house price reflects smaller suburban homes","Novant","Cedarwood Country Club, Providence CC",true,"3+ year waitlist, 40k initiation at both Cedarwood and Providence","3610f09d-a026-4f36-a7f7-80cd82eb2903",2026-03-11T22:12:35Z,,"PUBLISHED"
"Lochmere","/neighborhoods-1/lochmere","Lochmere is a well-established planned community in the southwest part of Cary, known for its mature trees, lakes, and extensive walking trails. Built around several small lakes and a private golf club, the neighborhood has a quieter, more traditional suburban feel than many newer developments in the Triangle. Residents often highlight the greenways, community pools, and proximity to nature, including nearby Hemlock Bluffs Nature Preserve.","polished-suburban,traffic-moderate,quiet-residential,inner-suburb,mid-range,premium,lake-river-access,medical-hub,custom-homes,established-trees,golf-nearby,nature-preserve","Lochmere Community Park, Hemlock Bluff","<p class=""font_8"">$810,000</p>","wix:image://v1/de450f_3e07a5e8f6a24632a16c1ce4e2e872a9~mv2.png/Lochmere.png#originWidth=1237&originHeight=964","c6c48b04-5386-4cba-9aea-38f983e64def",2026-03-11T21:18:43Z,2026-03-18T13:47:32Z,"de450f76-16a9-4dc8-be7c-c2b9081fbbf8","Raleigh","Variety of subdivisions and prices.  Nice housing styles.  Former country club provides neighborhood tennis courts & swimming.  Golf course is semi-private, no club.","WakeMed","MacGregor Downs",true,"Next closest country club is Prestonwood.  McGregor Downs has a long waitlist.",,2026-03-11T21:02:47Z,,"PUBLISHED"
"Providence Plantation","/neighborhoods-1/providence-plantation","Older area of S Charlotte with plentiful trees & windy roads, mid-century and later homes","trail-system,medical-accessible,traffic-moderate,quiet-residential,inner-suburb,established-trees,mid-range,premium,custom-homes,","nighborhood parks","890,000","wix:image://v1/de450f_1ef82169a31c4beda55bef79e2b84fd3~mv2.png/Providence%20Plantation.png#originWidth=427&originHeight=280","f0433460-112f-497d-88b8-0a5f0240ee72",2026-03-11T17:58:27Z,2026-03-18T14:25:57Z,"de450f76-16a9-4dc8-be7c-c2b9081fbbf8","Charlotte","near Raintree & Providence Park neighborhood also; community pool or park; 15 min to southpark; shop at nearby Arboretum","Novant","Providence Country Club, Raintree Country Club,  Ballantyne",true,"Providence & Ballantyne have waits.  Raintree may not.  $10-15k initiation.",,2026-03-11T17:58:36Z,,"PUBLISHED"
